IDnum,Altersgruppe,Geschlecht,Verheiratet,Kinderzahl,aeltestesKind,juengstesKind,Bildungsstand,Beruf,Familieneinkommen,Wohnverhaeltnis,Ort,Land,Aktienbesitz,Tarif
0,R26bis35,w,ja,R0bis1,R0bis7,R0bis8,Studium,Industrie,R69383bis141235,Miete,urban,BadenWuerttemberg,nein,B
1,R50bis65,w,ja,R1bis4,R7bis25,R8bis25,Studium,Industrie,R69383bis141235,Eigentum,urban,BadenWuerttemberg,nein,A
2,R26bis35,m,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R21482bis69383,Miete,urban,Hessen,ja,B
3,R18bis25,m,nein,R0bis1,R0bis7,R0bis8,Studium,OeffentlicherDienst,R69383bis141235,Eigentum,laendlich,BadenWuerttemberg,nein,B
4,R66bis,w,nein,R1bis4,R25bis52,R25bis50,Studium,Handel,R21482bis69383,Eigentum,laendlich,Hessen,nein,B
5,R26bis35,m,ja,R1bis4,R7bis25,R0bis8,Gymnasium,Industrie,R0bis21482,Miete,laendlich,Bayern,nein,B
6,R50bis65,m,ja,R1bis4,R7bis25,R8bis25,Studium,Handel,R69383bis141235,Eigentum,urban,BadenWuerttemberg,ja,A
7,R18bis25,w,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R21482bis69383,Miete,laendlich,Bayern,ja,B
8,R36bis49,w,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R69383bis141235,Miete,urban,BadenWuerttemberg,ja,B
9,R50bis65,w,ja,R0bis1,R0bis7,R0bis8,Studium,Handel,R69383bis141235,Eigentum,laendlich,BadenWuerttemberg,ja,B
10,R66bis,m,nein,R0bis1,R0bis7,R0bis8,Lehre,Handwerk,R0bis21482,Miete,urban,BadenWuerttemberg,nein,B
11,R50bis65,m,nein,R0bis1,R0bis7,R0bis8,Gymnasium,Handwerk,R0bis21482,Miete,urban,Bayern,nein,B
12,R26bis35,w,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R21482bis69383,Miete,urban,Bayern,nein,B
13,R50bis65,m,ja,R1bis4,R25bis52,R25bis50,Gymnasium,Industrie,R0bis21482,Miete,urban,Hessen,nein,B
14,R66bis,w,ja,R1bis4,R7bis25,R8bis25,Studium,Industrie,R69383bis141235,Eigentum,laendlich,BadenWuerttemberg,nein,A
15,R26bis35,w,nein,R0bis1,R0bis7,R0bis8,Hauptschule,Industrie,R0bis21482,Miete,urban,Bayern,nein,B
16,R26bis35,m,nein,R0bis1,R0bis7,R0bis8,Studium,Handel,R69383bis141235,Miete,laendlich,Bayern,nein,B
17,R50bis65,w,ja,R1bis4,R7bis25,R8bis25,Studium,Industrie,R69383bis141235,Miete,urban,Bayern,nein,B
18,R50bis65,m,nein,R1bis4,R7bis25,R8bis25,Lehre,Handel,R0bis21482,Miete,urban,Bayern,nein,B
19,R18bis25,m,nein,R0bis1,R0bis7,R0bis8,Lehre,OeffentlicherDienst,R21482bis69383,Miete,urban,BadenWuerttemberg,nein,B
20,R66bis,w,ja,R1bis4,R7bis25,R8bis25,Hauptschule,Industrie,R0bis21482,Miete,laendlich,BadenWuerttemberg,nein,B
21,R66bis,m,ja,R1bis4,R25bis52,R25bis50,Studium,Handel,R69383bis141235,Miete,laendlich,BadenWuerttemberg,nein,A
22,R50bis65,m,ja,R1bis4,R25bis52,R8bis25,Gymnasium,Industrie,R0bis21482,Miete,urban,Bayern,nein,B
23,R18bis25,w,nein,R1bis4,R0bis7,R0bis8,Studium,OeffentlicherDienst,R69383bis141235,Miete,urban,BadenWuerttemberg,ja,B
24,R18bis25,m,nein,R0bis1,R0bis7,R0bis8,Studium,Handel,R21482bis69383,Eigentum,laendlich,BadenWuerttemberg,nein,B
25,R18bis25,w,ja,R1bis4,R0bis7,R0bis8,Lehre,Handwerk,R0bis21482,Eigentum,urban,BadenWuerttemberg,nein,B
26,R36bis49,w,ja,R1bis4,R7bis25,R8bis25,Studium,Industrie,R69383bis141235,Miete,urban,BadenWuerttemberg,nein,B
27,R18bis25,w,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R69383bis141235,Miete,urban,Bayern,nein,B
28,R50bis65,w,ja,R0bis1,R0bis7,R0bis8,Lehre,Handel,R21482bis69383,Miete,urban,Hessen,nein,B
29,R36bis49,m,ja,R1bis4,R0bis7,R0bis8,Studium,Industrie,R69383bis141235,Eigentum,urban,Bayern,ja,A
30,R26bis35,m,ja,R0bis1,R0bis7,R0bis8,Studium,Industrie,R21482bis69383,Miete,urban,Hessen,ja,B
31,R18bis25,m,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R69383bis141235,Eigentum,urban,Bayern,nein,B
32,R26bis35,w,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R21482bis69383,Miete,urban,BadenWuerttemberg,nein,B
33,R18bis25,m,nein,R0bis1,R0bis7,R0bis8,Studium,Industrie,R21482bis69383,Miete,urban,BadenWuerttemberg,ja,B
34,R66bis,m,ja,R1bis4,R25bis52,R8bis25,Studium,Handel,R21482bis69383,Miete,urban,BadenWuerttemberg,nein,B
35,R66bis,m,ja,R0bis1,R0bis7,R0bis8,Lehre,Industrie,R21482bis69383,Miete,urban,BadenWuerttemberg,nein,B
