Altersgruppe;Geschlecht;Verheiratet;Kinderzahl;aeltestesKind;juengstesKind;Bildungsstand;Beruf;Familieneinkommen;Wohnverhaeltnis;Ort;Land;Aktienbesitz;Tarif
26-35;w;ja;0;n.a.;n.a.;Studium;Industrie;72105;Miete;urban;Baden-Wuerttemberg;nein;B
26-35;m;nein;0;n.a.;n.a.;Studium;Industrie;68985;Miete;urban;Hessen;ja;B
26-35;m;ja;2;7;6;Gymnasium;Industrie;15086;Miete;laendlich;Bayern;nein;B
18-25;w;nein;0;n.a.;n.a.;Studium;Industrie;64282;Miete;laendlich;Bayern;ja;B
36-49;w;nein;0;n.a.;n.a.;Studium;Industrie;73169;Miete;urban;Baden-Wuerttemberg;ja;B
18-25;m;nein;0;n.a.;n.a.;Studium;Oeffentlicher Dienst;75844;Eigentum;laendlich;Baden-Wuerttemberg;nein;B
66-;m;ja;3;29;27;Studium;Handel;70936;Miete;laendlich;Baden-Wuerttemberg;nein;A
50-65;w;ja;3;23;21;Studium;Industrie;75241;Eigentum;urban;Baden-Wuerttemberg;nein;A
50-65;m;ja;3;17;15;Studium;Handel;75021;Eigentum;urban;Baden-Wuerttemberg;ja;A
66-;w;ja;1;23;23;Studium;Industrie;76940;Eigentum;laendlich;Baden-Wuerttemberg;nein;A
66-;w;ja;1;23;23;Studium;Industrie;76940;Eigentum;laendlich;Baden-Wuerttemberg;nein;
36-49;w;nein;0;n.a.;n.a.;Studium;Industrie;73169;Miete;urban;Baden-Wuerttemberg;ja;
26-35;m;nein;0;n.a.;n.a.;;Industrie;68985;Miete;urban;Hessen;ja;B
66-;w;ja;1;23;23;Studium;Industrie;;Eigentum;laendlich;Baden-Wuerttemberg;nein;A
26-35;m;nein;0;n.a.;n.a.;Studium;Industrie;68985;;urban;Hessen;ja;B
;;;;;;;;68985;;;;;B
36-49;w;;0;n.a.;n.a.;;Industrie;73169;;;;ja;B
;w;ja;3;23;21;Studium;;;;;Baden-Wuerttemberg;nein;A
26-35;w;;;;;;;;;;;;B
;;;;;;;;;;;;;
